type,for,name,url
resource pack,minecraft,The Official Connected Textures Pack,https://www.curseforge.com/minecraft/texture-packs/ctp
mod,minecraft,Armourer's Workshop,https://www.curseforge.com/minecraft/mc-mods/armourers-workshop
mod,minecraft,Biomes O' Plenty,https://www.curseforge.com/minecraft/mc-mods/biomes-o-plenty
mod,minecraft,Camera Mod,https://www.curseforge.com/minecraft/mc-mods/camera-mod
mod,minecraft,Chisel,https://www.curseforge.com/minecraft/mc-mods/chisel
mod,minecraft,ConnectedTexturesMod,https://www.curseforge.com/minecraft/mc-mods/ctm
mod,minecraft,copygirl's Wearable Backpacks,https://www.curseforge.com/minecraft/mc-mods/wearable-backpacks
mod,minecraft,e4mc,https://www.curseforge.com/minecraft/mc-mods/e4mc
mod,minecraft,Electroblob's Wizardry,https://www.curseforge.com/minecraft/mc-mods/electroblobs-wizardry
mod,minecraft,ElevatorMod,https://www.curseforge.com/minecraft/mc-mods/openblocks-elevator
mod,minecraft,Enchanting Plus,https://www.curseforge.com/minecraft/mc-mods/enchanting-plus
mod,minecraft,Enchantment Descriptions,https://www.curseforge.com/minecraft/mc-mods/enchantment-descriptions
mod,minecraft,Hex Lands,https://www.curseforge.com/minecraft/mc-mods/hex-lands
mod,minecraft,Hooked,https://www.curseforge.com/minecraft/mc-mods/hooked
mod,minecraft,Hywla,https://www.curseforge.com/minecraft/mc-mods/hwyla
mod,minecraft,Improvable Skills,https://www.curseforge.com/minecraft/mc-mods/improvable-skills
mod,minecraft,Inventory Sorter,https://www.curseforge.com/minecraft/mc-mods/inventory-sorter
mod,minecraft,Iron Jetpacks,https://www.curseforge.com/minecraft/mc-mods/iron-jetpacks
mod,minecraft,Just Enough Items (JEI),https://www.curseforge.com/minecraft/mc-mods/jei
mod,minecraft,Lucky Block,https://www.curseforge.com/minecraft/mc-mods/lucky-block
mod,minecraft,MrCrayfish's Gun Mod,https://mrcrayfish.com/mods/cgm
mod,minecraft,Pixelmon,https://reforged.gg
mod,minecraft,Polymorph,https://modrinth.com/mod/polymorph
mod,minecraft,Quark,https://www.curseforge.com/minecraft/mc-mods/quark
mod,minecraft,Quick Leaf Decay,https://www.curseforge.com/minecraft/mc-mods/quick-leaf-decay
mod,minecraft,Tinkers Construct,https://www.curseforge.com/minecraft/mc-mods/tinkers-construct
mod,minecraft,Tinkers' Tool Leveling,https://www.curseforge.com/minecraft/mc-mods/tinkers-tool-leveling
mod,minecraft,Tips,https://www.curseforge.com/minecraft/mc-mods/tips
mod,minecraft,Towers Of The Wild,https://www.curseforge.com/minecraft/mc-mods/towers-of-the-wild
mod,minecraft,TrashSlot,https://www.curseforge.com/minecraft/mc-mods/trashslot
mod,minecraft,Underground Biomes,https://www.curseforge.com/minecraft/mc-mods/underground-biomes
mod,minecraft,Useful Backpacks,https://www.curseforge.com/minecraft/mc-mods/useful-backpacks
mod,minecraft,Xaero's World Map,https://www.curseforge.com/minecraft/mc-mods/xaeros-world-map
separator,minecraft,,
mod,minecraft,Additional Structures,https://www.curseforge.com/minecraft/mc-mods/additional-structures
mod,minecraft,AmbientSounds,https://www.curseforge.com/minecraft/mc-mods/ambientsounds
mod,minecraft,Borderless Mining,https://www.curseforge.com/minecraft/mc-mods/borderless-mining
mod,minecraft,Botania,https://www.curseforge.com/minecraft/mc-mods/botania
mod,minecraft,Entity Culling,https://www.curseforge.com/minecraft/mc-mods/entityculling
mod,minecraft,FancyMenu,https://www.curseforge.com/minecraft/mc-mods/fancymenu
mod,minecraft,Industrial Foregoing,https://www.curseforge.com/minecraft/mc-mods/industrial-foregoing
mod,minecraft,Joy of Painting,https://www.curseforge.com/minecraft/mc-mods/joy-of-painting
mod,minecraft,Pick Up Notifier,https://www.curseforge.com/minecraft/mc-mods/pick-up-notifier
mod,minecraft,Quark Oddities,https://www.curseforge.com/minecraft/mc-mods/quark-oddities
mod,minecraft,Tinkers' Complement,https://www.curseforge.com/minecraft/mc-mods/tinkers-complement
mod,minecraft,Underground Jungle,https://www.curseforge.com/minecraft/mc-mods/underground-jungle
mod,minecraft,Simple Voice Chat,https://www.curseforge.com/minecraft/mc-mods/simple-voice-chat
mod,minecraft,Simple Generators,https://www.curseforge.com/minecraft/mc-mods/simple-generators
