type,for,name,url
mod,terraria,No Pylon Restrictions,https://steamcommunity.com/sharedfiles/filedetails/?id=2812377597
mod,terraria,Endless Potions,https://steamcommunity.com/sharedfiles/filedetails/?id=2831280683
mod,terraria,Friendly NPCs Don't Die,https://steamcommunity.com/sharedfiles/filedetails/?id=2729987636
mod,terraria,Change Sleep Time,https://steamcommunity.com/sharedfiles/filedetails/?id=3014137690
mod,terraria,Recipe Browser,https://steamcommunity.com/sharedfiles/filedetails/?id=2619954303
mod,terraria,Concise Mods List,https://steamcommunity.com/sharedfiles/filedetails/?id=3001692619
mod,terraria,Teleport All NPC Home,https://steamcommunity.com/sharedfiles/filedetails/?id=2789237440
mod,terraria,Vanilla+ QoL,https://steamcommunity.com/sharedfiles/filedetails/?id=3086919933
mod,terraria,absoluteAquarian Utilities (SerousCommonLib,https://steamcommunity.com/sharedfiles/filedetails/?id=2908170107
mod,terraria,Magic Storage Starter Bag,https://steamcommunity.com/sharedfiles/filedetails/?id=3281576339
mod,terraria,Magic Storage,https://steamcommunity.com/sharedfiles/filedetails/?id=2563309347
mod,terraria,Calamity Mod,https://steamcommunity.com/sharedfiles/filedetails/?id=2824688072
